Segment number	Ramping/Holding	Elapsed time (s)	Segment time(s)	Potential (V)	Current (A)
1	Ramping	1.966233e-01	1.950300e-01	7.438660e-03	1.882003e-05
1	Ramping	2.921460e-01	2.905516e-01	9.159088e-03	2.603299e-05
1	Ramping	3.721962e-01	3.706029e-01	9.159088e-03	2.603299e-05
1	Ramping	4.599005e-01	4.583073e-01	1.113892e-02	3.186021e-05
1	Ramping	5.481742e-01	5.465806e-01	1.435471e-02	3.695310e-05
1	Ramping	6.359462e-01	6.343527e-01	1.607513e-02	3.838622e-05
1	Ramping	7.240354e-01	7.224419e-01	1.784515e-02	4.004437e-05
1	Ramping	8.125016e-01	8.109079e-01	1.960373e-02	4.102742e-05
1	Ramping	8.997752e-01	8.981819e-01	2.142334e-02	4.180912e-05
1	Ramping	9.880925e-01	9.864995e-01	2.310944e-02	4.233025e-05
1	Ramping	1.076333e+00	1.074739e+00	2.494812e-02	4.268557e-05
1	Ramping	1.164213e+00	1.162620e+00	2.665329e-02	4.292245e-05
1	Ramping	1.251798e+00	1.250205e+00	2.844238e-02	4.286323e-05
1	Ramping	1.340223e+00	1.338630e+00	3.013992e-02	4.341990e-05
1	Ramping	1.428548e+00	1.426955e+00	3.199768e-02	4.362124e-05
1	Ramping	1.515966e+00	1.514373e+00	3.388214e-02	4.368046e-05
1	Ramping	1.604041e+00	1.602447e+00	3.553009e-02	4.384628e-05
1	Ramping	1.691777e+00	1.690184e+00	3.721237e-02	4.360940e-05
1	Ramping	1.780437e+00	1.778844e+00	3.897858e-02	4.401209e-05
1	Ramping	1.867971e+00	1.866378e+00	4.071426e-02	4.398841e-05
1	Ramping	1.956145e+00	1.954552e+00	4.246902e-02	4.382259e-05
1	Ramping	2.044643e+00	2.043050e+00	4.417038e-02	4.370415e-05
1	Ramping	2.131727e+00	2.130134e+00	4.596710e-02	4.410684e-05
1	Ramping	2.219877e+00	2.218284e+00	4.772186e-02	4.404763e-05
1	Ramping	2.308048e+00	2.306455e+00	4.961014e-02	4.441479e-05
1	Ramping	2.395763e+00	2.394169e+00	5.125046e-02	4.381075e-05
1	Ramping	2.483978e+00	2.482385e+00	5.316162e-02	4.423713e-05
1	Ramping	2.572377e+00	2.570783e+00	5.487823e-02	4.362124e-05
1	Ramping	2.660604e+00	2.659010e+00	5.658340e-02	4.389365e-05
1	Ramping	2.748426e+00	2.746833e+00	5.835342e-02	4.416606e-05
1	Ramping	2.835915e+00	2.834321e+00	6.016541e-02	4.448585e-05
1	Ramping	2.923822e+00	2.922228e+00	6.200027e-02	4.421344e-05
1	Ramping	3.012188e+00	3.010594e+00	6.370163e-02	4.420160e-05
1	Ramping	3.100467e+00	3.098874e+00	6.542969e-02	4.436741e-05
1	Ramping	3.187845e+00	3.186252e+00	6.718063e-02	4.463982e-05
1	Ramping	3.276345e+00	3.274752e+00	6.892395e-02	4.409500e-05
1	Ramping	3.364589e+00	3.362996e+00	7.075882e-02	4.452138e-05
1	Ramping	3.451782e+00	3.450189e+00	7.249832e-02	4.422528e-05
1	Ramping	3.539861e+00	3.538267e+00	7.415009e-02	4.448585e-05
1	Ramping	3.627995e+00	3.626402e+00	7.582474e-02	4.440294e-05
1	Ramping	3.715863e+00	3.714269e+00	7.773590e-02	4.384628e-05
1	Ramping	3.804186e+00	3.802592e+00	7.954407e-02	4.453323e-05
1	Ramping	3.892312e+00	3.890718e+00	8.132172e-02	4.429635e-05
1	Ramping	3.980505e+00	3.978911e+00	8.298111e-02	4.452138e-05
1	Ramping	4.068620e+00	4.067027e+00	8.473587e-02	4.445032e-05
1	Ramping	4.155953e+00	4.154360e+00	8.654785e-02	4.471089e-05
1	Ramping	4.244443e+00	4.242850e+00	8.834839e-02	4.448585e-05
1	Ramping	4.331943e+00	4.330350e+00	9.000397e-02	4.441479e-05
1	Ramping	4.420087e+00	4.418493e+00	9.169006e-02	4.452138e-05
1	Ramping	4.508740e+00	4.507146e+00	9.347916e-02	4.442663e-05
1	Ramping	4.596482e+00	4.594888e+00	9.523010e-02	4.440294e-05
1	Ramping	4.683886e+00	4.682293e+00	9.706879e-02	4.495961e-05
1	Ramping	4.772576e+00	4.770983e+00	9.879303e-02	4.477011e-05
1	Holding	4.859992e+00	4.858399e+00	1.004372e-01	4.445032e-05
1	Holding	4.948333e+00	4.946740e+00	1.008949e-01	3.302091e-05
1	Holding	5.036339e+00	5.034746e+00	1.008263e-01	2.274037e-05
1	Holding	5.124146e+00	5.122553e+00	1.007690e-01	1.559847e-05
1	Holding	5.212388e+00	5.210794e+00	1.007233e-01	1.048189e-05
1	Holding	5.299890e+00	5.298297e+00	1.007957e-01	6.703672e-06
1	Holding	5.388282e+00	5.386690e+00	1.007652e-01	4.417791e-06
1	Holding	5.475855e+00	5.474262e+00	1.006775e-01	2.356945e-06
1	Holding	5.564169e+00	5.562576e+00	1.008224e-01	1.883187e-06
1	Holding	5.652498e+00	5.650904e+00	1.008224e-01	5.092896e-07
1	Holding	5.740360e+00	5.738767e+00	1.007500e-01	-2.368789e-07
1	Holding	5.828120e+00	5.826527e+00	1.008110e-01	-4.974456e-07
1	Holding	5.916186e+00	5.914592e+00	1.008644e-01	-1.196238e-06
1	Holding	6.004409e+00	6.002816e+00	1.009369e-01	-1.231770e-06
1	Holding	6.091934e+00	6.090341e+00	1.007309e-01	-1.456805e-06
1	Holding	6.179955e+00	6.178361e+00	1.009102e-01	-1.504181e-06
1	Holding	6.267966e+00	6.266373e+00	1.006584e-01	-2.013470e-06
1	Holding	6.355822e+00	6.354229e+00	1.008911e-01	-1.717372e-06
1	Holding	6.443774e+00	6.442181e+00	1.008987e-01	-2.214817e-06
1	Holding	6.532594e+00	6.531001e+00	1.009026e-01	-1.930563e-06
1	Holding	6.620423e+00	6.618830e+00	1.008110e-01	-1.989782e-06
1	Holding	6.707818e+00	6.706225e+00	1.008186e-01	-2.120066e-06
1	Holding	6.796201e+00	6.794608e+00	1.008644e-01	-2.416164e-06
1	Holding	6.884711e+00	6.883118e+00	1.008339e-01	-2.072690e-06
1	Holding	6.972247e+00	6.970653e+00	1.007957e-01	-2.463540e-06
1	Holding	7.060031e+00	7.058438e+00	1.008492e-01	-2.404320e-06
1	Holding	7.147901e+00	7.146308e+00	1.008148e-01	-2.072690e-06
1	Holding	7.235793e+00	7.234200e+00	1.007690e-01	-2.878078e-06
1	Holding	7.324025e+00	7.322432e+00	1.007042e-01	-1.812123e-06
1	Holding	7.412067e+00	7.410474e+00	1.008492e-01	-2.309569e-06
1	Holding	7.500432e+00	7.498839e+00	1.007652e-01	-2.167442e-06
1	Holding	7.588278e+00	7.586685e+00	1.007347e-01	-2.558292e-06
1	Holding	7.675694e+00	7.674101e+00	1.007805e-01	-2.321413e-06
1	Holding	7.763978e+00	7.762385e+00	1.008453e-01	-2.499072e-06
1	Holding	7.851991e+00	7.850398e+00	1.009369e-01	-2.475384e-06
1	Holding	7.940197e+00	7.938604e+00	1.008186e-01	-2.593824e-06
1	Holding	8.028447e+00	8.026854e+00	1.007729e-01	-2.913610e-06
1	Holding	8.115925e+00	8.114333e+00	1.007042e-01	-2.439852e-06
1	Holding	8.204659e+00	8.203066e+00	1.008339e-01	-2.131910e-06
1	Holding	8.292456e+00	8.290863e+00	1.007690e-01	-2.629355e-06
1	Holding	8.380032e+00	8.378438e+00	1.009598e-01	-2.250349e-06
1	Holding	8.467804e+00	8.466211e+00	1.008148e-01	-2.700419e-06
1	Holding	8.556255e+00	8.554662e+00	1.007843e-01	-2.724107e-06
1	Holding	8.644137e+00	8.642544e+00	1.007462e-01	-2.818859e-06
