Segment number	Ramping/Holding	Elapsed time (s)	Segment time(s)	Potential (V)	Current (A)
1	Holding	8.732400e-03	7.793332e-03	1.002884e-02	-1.478195e-08
1	Holding	1.107398e-01	1.097996e-01	1.663208e-02	5.001664e-05
1	Holding	1.865410e-01	1.856010e-01	1.663208e-02	5.001664e-05
1	Holding	2.752312e-01	2.742913e-01	1.888657e-02	5.001223e-05
1	Holding	3.628806e-01	3.619410e-01	2.276611e-02	5.001152e-05
1	Holding	4.506861e-01	4.497466e-01	2.467346e-02	5.001509e-05
1	Holding	5.394223e-01	5.384825e-01	2.660751e-02	5.001187e-05
1	Holding	6.268851e-01	6.259455e-01	2.856445e-02	5.001259e-05
1	Holding	7.150701e-01	7.141306e-01	3.039932e-02	5.001462e-05
1	Holding	8.033479e-01	8.024083e-01	3.233719e-02	5.001521e-05
1	Holding	8.907473e-01	8.898077e-01	3.441238e-02	5.001724e-05
1	Holding	9.793411e-01	9.784018e-01	3.630066e-02	5.001438e-05
1	Holding	1.067412e+00	1.066473e+00	3.824234e-02	5.001318e-05
1	Holding	1.154735e+00	1.153796e+00	4.016495e-02	5.001545e-05
1	Holding	1.242769e+00	1.241829e+00	4.203796e-02	5.001402e-05
1	Holding	1.331135e+00	1.330196e+00	4.388428e-02	5.001175e-05
1	Holding	1.418920e+00	1.417981e+00	4.592514e-02	5.001664e-05
1	Holding	1.507179e+00	1.506240e+00	4.785156e-02	5.001628e-05
1	Holding	1.595521e+00	1.594582e+00	4.977798e-02	5.001581e-05
1	Holding	1.683174e+00	1.682235e+00	5.173492e-02	5.001402e-05
1	Holding	1.771363e+00	1.770423e+00	5.366135e-02	5.001426e-05
1	Holding	1.858998e+00	1.858059e+00	5.554962e-02	5.001462e-05
1	Holding	1.946884e+00	1.945944e+00	5.751801e-02	5.001462e-05
1	Holding	2.034925e+00	2.033985e+00	5.932617e-02	5.001485e-05
1	Holding	2.123169e+00	2.122229e+00	6.132507e-02	5.001605e-05
1	Holding	2.211008e+00	2.210069e+00	6.317902e-02	5.001247e-05
1	Holding	2.299288e+00	2.298348e+00	6.512451e-02	5.001545e-05
1	Holding	2.387353e+00	2.386413e+00	6.703949e-02	5.001664e-05
1	Holding	2.475124e+00	2.474185e+00	6.893539e-02	5.001640e-05
1	Holding	2.562852e+00	2.561912e+00	7.086563e-02	5.001402e-05
1	Holding	2.650835e+00	2.649896e+00	7.271957e-02	5.001342e-05
1	Holding	2.739346e+00	2.738407e+00	7.460022e-02	5.001414e-05
1	Holding	2.826964e+00	2.826024e+00	7.660294e-02	5.001676e-05
1	Holding	2.915372e+00	2.914432e+00	7.839966e-02	5.001187e-05
1	Holding	3.003278e+00	3.002338e+00	8.045578e-02	5.001318e-05
1	Holding	3.090720e+00	3.089781e+00	8.233643e-02	5.001497e-05
1	Holding	3.179270e+00	3.178330e+00	8.400726e-02	5.001628e-05
1	Holding	3.266926e+00	3.265986e+00	8.605957e-02	5.001330e-05
1	Holding	3.355594e+00	3.354654e+00	8.796692e-02	5.001199e-05
1	Holding	3.442866e+00	3.441927e+00	8.984375e-02	5.001736e-05
1	Holding	3.531125e+00	3.530186e+00	9.165955e-02	5.001462e-05
1	Holding	3.618924e+00	3.617984e+00	9.362411e-02	5.001485e-05
