Cycle number	Elapsed time (s)	Potential (V)	Current (A)
1	1.880442e-01	5.844116e-03	3.443432e-05
1	2.759077e-01	1.018143e-02	5.796897e-05
1	3.638462e-01	1.457596e-02	7.459044e-05
1	4.526143e-01	1.903915e-02	8.605409e-05
1	5.405004e-01	2.357864e-02	9.483933e-05
1	6.282790e-01	2.806091e-02	1.006401e-04
1	7.162579e-01	3.221512e-02	1.047045e-04
1	8.043231e-01	3.662872e-02	1.076685e-04
1	8.924032e-01	4.105377e-02	1.102325e-04
1	9.805074e-01	4.559326e-02	1.122205e-04
1	1.068069e+00	4.991531e-02	1.131102e-04
1	1.155878e+00	5.426788e-02	1.140476e-04
1	1.244382e+00	5.857468e-02	1.146934e-04
1	1.332563e+00	6.300354e-02	1.154484e-04
1	1.420258e+00	6.745529e-02	1.160572e-04
1	1.508408e+00	7.183456e-02	1.162152e-04
1	1.595689e+00	7.624054e-02	1.165026e-04
1	1.684551e+00	8.072281e-02	1.166109e-04
1	1.771888e+00	8.508301e-02	1.168867e-04
1	1.859649e+00	8.938599e-02	1.170313e-04
1	1.947702e+00	9.379196e-02	1.176050e-04
1	2.035719e+00	9.823990e-02	1.173712e-04
1	2.124041e+00	1.026382e-01	1.179041e-04
1	2.211869e+00	1.070862e-01	1.178007e-04
1	2.299834e+00	1.114845e-01	1.181406e-04
1	2.387838e+00	1.158066e-01	1.180741e-04
1	2.476262e+00	1.202545e-01	1.184744e-04
1	2.564088e+00	1.247444e-01	1.185871e-04
1	2.652229e+00	1.291275e-01	1.186876e-04
1	2.740483e+00	1.335144e-01	1.185820e-04
1	2.828515e+00	1.378517e-01	1.185039e-04
1	2.916197e+00	1.422424e-01	1.184937e-04
1	3.003650e+00	1.466522e-01	1.188651e-04
1	3.091692e+00	1.510429e-01	1.188641e-04
1	3.179652e+00	1.554489e-01	1.188334e-04
1	3.268507e+00	1.598473e-01	1.190674e-04
1	3.355717e+00	1.643066e-01	1.188502e-04
1	3.443974e+00	1.685638e-01	1.187923e-04
1	3.532485e+00	1.731529e-01	1.193078e-04
1	3.620319e+00	1.773949e-01	1.187747e-04
1	3.707965e+00	1.818695e-01	1.192442e-04
1	3.796187e+00	1.861877e-01	1.191691e-04
1	3.883809e+00	1.906891e-01	1.190823e-04
1	3.971836e+00	1.950150e-01	1.188694e-04
1	4.060287e+00	1.994820e-01	1.195184e-04
