Cycle number	Half cycle number	Elapsed time (s)	Potential (V)	Current (A)
1	1	9.779683e-03	3.505707e-03	-3.102541e-06
1	1	1.003609e-01	1.937103e-02	1.000028e-04
1	1	1.881880e-01	2.359390e-02	9.999955e-05
1	1	2.754645e-01	2.750778e-02	9.999895e-05
1	1	3.642490e-01	3.139496e-02	1.000005e-04
1	1	4.517028e-01	3.554153e-02	9.999788e-05
1	1	5.404691e-01	3.943253e-02	9.999859e-05
1	1	6.277175e-01	4.339218e-02	9.999824e-05
1	1	7.157118e-01	4.721832e-02	1.000000e-04
1	1	8.042606e-01	5.126572e-02	9.999859e-05
1	1	8.918789e-01	5.513763e-02	9.999955e-05
1	1	9.800326e-01	5.892944e-02	9.999800e-05
1	1	1.068298e+00	6.296158e-02	9.999645e-05
1	1	1.155867e+00	6.684494e-02	9.999835e-05
1	1	1.243675e+00	7.075500e-02	9.999847e-05
1	1	1.331815e+00	7.463837e-02	9.999788e-05
1	1	1.420014e+00	7.843781e-02	9.999812e-05
1	1	1.508086e+00	8.235550e-02	9.999955e-05
1	1	1.596304e+00	8.629990e-02	9.999835e-05
1	1	1.684329e+00	8.999634e-02	9.999835e-05
1	1	1.771504e+00	9.400558e-02	1.000013e-04
1	1	1.859736e+00	9.776688e-02	9.999752e-05
1	1	1.947589e+00	1.016388e-01	9.999883e-05
1	1	2.035481e+00	1.055412e-01	9.999955e-05
1	1	2.124236e+00	1.093216e-01	9.999871e-05
1	1	2.212394e+00	1.131706e-01	9.999883e-05
1	1	2.300208e+00	1.170616e-01	9.999859e-05
1	1	2.388349e+00	1.209030e-01	9.999764e-05
1	1	2.476443e+00	1.247253e-01	9.999955e-05
1	1	2.564138e+00	1.285210e-01	9.999859e-05
1	1	2.652387e+00	1.323509e-01	9.999764e-05
1	1	2.740004e+00	1.362038e-01	9.999847e-05
1	1	2.827850e+00	1.400871e-01	9.999800e-05
1	1	2.915869e+00	1.438637e-01	1.000004e-04
1	1	3.003936e+00	1.476936e-01	9.999907e-05
1	1	3.091961e+00	1.515045e-01	9.999788e-05
1	1	3.179850e+00	1.553459e-01	9.999907e-05
1	1	3.267636e+00	1.591377e-01	9.999788e-05
1	1	3.356119e+00	1.628265e-01	9.999979e-05
1	1	3.443679e+00	1.667061e-01	9.999692e-05
1	1	3.532101e+00	1.705360e-01	9.999859e-05
1	1	3.619901e+00	1.743851e-01	1.000000e-04
1	1	3.708466e+00	1.781425e-01	9.999979e-05
1	1	3.796402e+00	1.820221e-01	9.999907e-05
1	1	3.884458e+00	1.858253e-01	1.000001e-04
1	1	3.972373e+00	1.896362e-01	1.000007e-04
1	1	4.060321e+00	1.933899e-01	9.999967e-05
1	1	4.148175e+00	1.972504e-01	9.999955e-05
1	1	4.236435e+00	2.010269e-01	9.999895e-05
1	1	4.324200e+00	2.047348e-01	9.999883e-05
1	1	4.411580e+00	2.085609e-01	9.999931e-05
