Experiment stage	Elapsed time (s)	Potential (V)	Current (A)
Initialising	1.901693e-01	1.025391e-02	3.738689e-05
Initialising	2.781797e-01	1.475525e-02	6.008112e-05
Initialising	3.668096e-01	1.909637e-02	7.659495e-05
Initialising	4.548256e-01	2.344131e-02	8.764553e-05
Initialising	5.420829e-01	2.798843e-02	9.600914e-05
Initialising	6.301933e-01	3.227234e-02	1.013047e-04
Initialising	7.187614e-01	3.660202e-02	1.051174e-04
Initialising	8.065548e-01	4.111099e-02	1.083618e-04
Initialising	8.944602e-01	4.548264e-02	1.106030e-04
Initialising	9.824020e-01	4.994583e-02	1.125103e-04
Initialising	1.070170e+00	5.424881e-02	1.133308e-04
Initialising	1.158339e+00	5.868530e-02	1.145463e-04
Initialising	1.246001e+00	6.305695e-02	1.148032e-04
Initialising	1.333891e+00	6.747055e-02	1.156484e-04
Initialising	1.422212e+00	7.189178e-02	1.159648e-04
Initialising	1.510739e+00	7.613754e-02	1.160306e-04
Initialising	1.598205e+00	8.075333e-02	1.171662e-04
Initialising	1.686773e+00	8.514404e-02	1.171619e-04
Initialising	1.774719e+00	8.959961e-02	1.175910e-04
Initialising	1.862446e+00	9.376526e-02	1.174248e-04
Initialising	1.950764e+00	9.820557e-02	1.171517e-04
Initialising	2.037970e+00	1.027298e-01	1.181979e-04
Initialising	2.126356e+00	1.070328e-01	1.179013e-04
Initialising	2.213942e+00	1.114006e-01	1.179696e-04
Initialising	2.302298e+00	1.159477e-01	1.189018e-04
Initialising	2.390372e+00	1.203613e-01	1.185977e-04
Initialising	2.477823e+00	1.246338e-01	1.183789e-04
Initialising	2.566132e+00	1.290970e-01	1.182241e-04
Initialising	2.654742e+00	1.334610e-01	1.187623e-04
Initialising	2.741969e+00	1.379051e-01	1.187202e-04
Initialising	2.830128e+00	1.422119e-01	1.179292e-04
Initialising	2.918045e+00	1.466408e-01	1.190193e-04
Initialising	3.006190e+00	1.510811e-01	1.189542e-04
Initialising	3.094535e+00	1.554413e-01	1.190463e-04
Initialising	3.182406e+00	1.598930e-01	1.185638e-04
Initialising	3.270397e+00	1.643066e-01	1.186936e-04
Initialising	3.358642e+00	1.685867e-01	1.187190e-04
Initialising	3.446378e+00	1.730156e-01	1.193289e-04
Initialising	3.534759e+00	1.774483e-01	1.189095e-04
Initialising	3.622396e+00	1.818542e-01	1.195438e-04
Initialising	3.709889e+00	1.862373e-01	1.190898e-04
Initialising	3.798436e+00	1.906204e-01	1.195494e-04
Initialising	3.886377e+00	1.950378e-01	1.186512e-04
Initialising	3.974539e+00	1.994095e-01	1.194044e-04
Initialising	4.062123e+00	2.038918e-01	1.194692e-04
Initialising	4.150582e+00	2.081757e-01	1.194336e-04
Initialising	4.238160e+00	2.127380e-01	1.196629e-04
Initialising	4.326355e+00	2.170334e-01	1.196618e-04
Initialising	4.414067e+00	2.215538e-01	1.194346e-04
Initialising	4.502420e+00	2.259216e-01	1.195714e-04
Initialising	4.590800e+00	2.302780e-01	1.201293e-04
Initialising	4.678732e+00	2.346992e-01	1.194643e-04
Initialising	4.766464e+00	2.390442e-01	1.198431e-04
Initialising	4.854503e+00	2.435265e-01	1.202565e-04
Initialising	4.942020e+00	2.478447e-01	1.199725e-04
Initialising	5.029959e+00	2.521744e-01	1.201048e-04
Initialising	5.118311e+00	2.565536e-01	1.204282e-04
Initialising	5.206528e+00	2.609711e-01	1.198314e-04
Initialising	5.294531e+00	2.654495e-01	1.201096e-04
Initialising	5.382844e+00	2.697334e-01	1.198132e-04
Initialising	5.470736e+00	2.743073e-01	1.203351e-04
Initialising	5.558208e+00	2.786674e-01	1.204195e-04
Initialising	5.646637e+00	2.829323e-01	1.197752e-04
Initialising	5.734045e+00	2.874107e-01	1.198250e-04
Initialising	5.822736e+00	2.918167e-01	1.198633e-04
Initialising	5.910675e+00	2.961388e-01	1.201355e-04
Initialising	5.998358e+00	3.006897e-01	1.200248e-04
Initialising	6.086406e+00	3.051224e-01	1.205868e-04
Initialising	6.174164e+00	3.093758e-01	1.200354e-04
Initialising	6.262284e+00	3.138351e-01	1.204162e-04
Initialising	6.350731e+00	3.181114e-01	1.202528e-04
Initialising	6.438494e+00	3.226280e-01	1.206777e-04
Initialising	6.526360e+00	3.270149e-01	1.205577e-04
Initialising	6.614394e+00	3.314209e-01	1.203974e-04
Initialising	6.702452e+00	3.357697e-01	1.202366e-04
Initialising	6.790747e+00	3.402138e-01	1.207078e-04
Initialising	6.878560e+00	3.445892e-01	1.208773e-04
Initialising	6.966741e+00	3.489609e-01	1.204007e-04
Initialising	7.054636e+00	3.534393e-01	1.209583e-04
Initialising	7.142225e+00	3.577461e-01	1.205275e-04
Initialising	7.229899e+00	3.622208e-01	1.210048e-04
Initialising	7.318741e+00	3.665886e-01	1.211491e-04
Initialising	7.406428e+00	3.710289e-01	1.207687e-04
Initialising	7.494485e+00	3.754539e-01	1.205394e-04
Initialising	7.582618e+00	3.798218e-01	1.209896e-04
Initialising	7.670111e+00	3.842468e-01	1.211203e-04
Initialising	7.758378e+00	3.886414e-01	1.214542e-04
Initialising	7.846798e+00	3.930359e-01	1.208086e-04
Initialising	7.934510e+00	3.974304e-01	1.209567e-04
Initialising	8.022102e+00	4.017525e-01	1.204815e-04
Initialising	8.110610e+00	4.061317e-01	1.210546e-04
Initialising	8.198288e+00	4.104385e-01	1.208407e-04
Initialising	8.286249e+00	4.149551e-01	1.209420e-04
Initialising	8.374360e+00	4.193344e-01	1.209106e-04
Initialising	8.461989e+00	4.237938e-01	1.210023e-04
Initialising	8.550599e+00	4.281464e-01	1.214006e-04
Initialising	8.638716e+00	4.326096e-01	1.208923e-04
Initialising	8.726149e+00	4.370117e-01	1.208410e-04
Initialising	8.814522e+00	4.413986e-01	1.210139e-04
Initialising	8.902313e+00	4.458618e-01	1.215198e-04
Initialising	8.990435e+00	4.501762e-01	1.217020e-04
Initialising	9.078661e+00	4.545364e-01	1.210934e-04
Initialising	9.165950e+00	4.589500e-01	1.215060e-04
Initialising	9.254865e+00	4.633064e-01	1.213453e-04
Initialising	9.342733e+00	4.676857e-01	1.214851e-04
Initialising	9.430290e+00	4.722748e-01	1.214294e-04
Initialising	9.518864e+00	4.766083e-01	1.212150e-04
Initialising	9.606520e+00	4.809990e-01	1.218728e-04
Initialising	9.694346e+00	4.854584e-01	1.215980e-04
Initialising	9.782105e+00	4.897499e-01	1.215315e-04
Initialising	9.869904e+00	4.942932e-01	1.217902e-04
Holding	9.958129e+00	4.986763e-01	1.219884e-04
Holding	1.004606e+01	5.008087e-01	1.039888e-04
Holding	1.013483e+01	5.007629e-01	7.441056e-05
Holding	1.022183e+01	5.007248e-01	5.381036e-05
Holding	1.031055e+01	5.007362e-01	3.955829e-05
Holding	1.039784e+01	5.008354e-01	2.974927e-05
Holding	1.048595e+01	5.008011e-01	2.256715e-05
Holding	1.057416e+01	5.007553e-01	1.759112e-05
Holding	1.066258e+01	5.007591e-01	1.385784e-05
Holding	1.075088e+01	5.008125e-01	1.081014e-05
Holding	1.083831e+01	5.006447e-01	9.549618e-06
Holding	1.092610e+01	5.006409e-01	7.943392e-06
Holding	1.101422e+01	5.007668e-01	6.955028e-06
Holding	1.110221e+01	5.006866e-01	6.056070e-06
Holding	1.119080e+01	5.006676e-01	5.284071e-06
Holding	1.127819e+01	5.008354e-01	5.167842e-06
Holding	1.136663e+01	5.007820e-01	4.727960e-06
Holding	1.145429e+01	5.007362e-01	4.241705e-06
Holding	1.154208e+01	5.007324e-01	4.190207e-06
Holding	1.163085e+01	5.007896e-01	3.812075e-06
Holding	1.171887e+01	5.007515e-01	3.525734e-06
Holding	1.180609e+01	5.007477e-01	3.647685e-06
Holding	1.189429e+01	5.007057e-01	3.494620e-06
Holding	1.198214e+01	5.007668e-01	3.401875e-06
Holding	1.207009e+01	5.006943e-01	3.174305e-06
Holding	1.215850e+01	5.007591e-01	3.263712e-06
Holding	1.224604e+01	5.007401e-01	2.912045e-06
Holding	1.233459e+01	5.007553e-01	2.757788e-06
Holding	1.242204e+01	5.007057e-01	2.500892e-06
Holding	1.251085e+01	5.008621e-01	2.832294e-06
Holding	1.259789e+01	5.008354e-01	2.801061e-06
Holding	1.268654e+01	5.006676e-01	2.503037e-06
Holding	1.277446e+01	5.006561e-01	2.795339e-06
Holding	1.286276e+01	5.008354e-01	2.506495e-06
Holding	1.295078e+01	5.008469e-01	2.377272e-06
Holding	1.303882e+01	5.007019e-01	2.432823e-06
Holding	1.312657e+01	5.007629e-01	2.583265e-06
Holding	1.321418e+01	5.007744e-01	2.288938e-06
Holding	1.330193e+01	5.007172e-01	2.251863e-06
Holding	1.339025e+01	5.006752e-01	1.948714e-06
Holding	1.347855e+01	5.006676e-01	2.266169e-06
Holding	1.356600e+01	5.006561e-01	1.896381e-06
Holding	1.365484e+01	5.006409e-01	2.093077e-06
Holding	1.374267e+01	5.007133e-01	1.904130e-06
Holding	1.383055e+01	5.007515e-01	2.485394e-06
Holding	1.391882e+01	5.007362e-01	2.039552e-06
Holding	1.400602e+01	5.007439e-01	1.961946e-06
Holding	1.409395e+01	5.006981e-01	1.783729e-06
Holding	1.418258e+01	5.007401e-01	1.961350e-06
