Cycle number	Half cycle number	Elapsed time (s)	Potential (V)	Current (A)
1	1	1.633597e-02	1.186371e-03	-3.731251e-08
1	1	1.035619e-01	4.032135e-03	2.002251e-05
1	1	1.920247e-01	4.974365e-03	2.002096e-05
1	1	2.792004e-01	5.664825e-03	2.001715e-05
1	1	3.719882e-01	6.408691e-03	2.001858e-05
1	1	4.595246e-01	7.183075e-03	2.002037e-05
1	1	5.478598e-01	8.045197e-03	2.002156e-05
1	1	6.356344e-01	8.934021e-03	2.002132e-05
1	1	7.231754e-01	9.662628e-03	2.002096e-05
1	1	8.116153e-01	1.044464e-02	2.002120e-05
1	1	8.999338e-01	1.106644e-02	2.002311e-05
1	1	9.871624e-01	1.198578e-02	2.002120e-05
1	1	1.075965e+00	1.276398e-02	2.001858e-05
1	1	1.164046e+00	1.362991e-02	2.001667e-05
1	1	1.251813e+00	1.411438e-02	2.002025e-05
1	1	1.339264e+00	1.510620e-02	2.002192e-05
1	1	1.427144e+00	1.579285e-02	2.001953e-05
1	1	1.515544e+00	1.658630e-02	2.001941e-05
1	1	1.603262e+00	1.745224e-02	2.001834e-05
1	1	1.691366e+00	1.809311e-02	2.002394e-05
1	1	1.779915e+00	1.902390e-02	2.001917e-05
1	1	1.867473e+00	1.965332e-02	2.001810e-05
1	1	1.955395e+00	2.043152e-02	2.002323e-05
1	1	2.044032e+00	2.132034e-02	2.001894e-05
1	1	2.131382e+00	2.200317e-02	2.002263e-05
1	1	2.220032e+00	2.280045e-02	2.002144e-05
1	1	2.307155e+00	2.350616e-02	2.002299e-05
1	1	2.395468e+00	2.419281e-02	2.001989e-05
1	1	2.483161e+00	2.500153e-02	2.002168e-05
1	1	2.571984e+00	2.575302e-02	2.001965e-05
1	1	2.659723e+00	2.657318e-02	2.002513e-05
1	1	2.747824e+00	2.724457e-02	2.001870e-05
1	1	2.835692e+00	2.815628e-02	2.002168e-05
1	1	2.924059e+00	2.882767e-02	2.002072e-05
1	1	3.011230e+00	2.966690e-02	2.002227e-05
1	1	3.099652e+00	3.028107e-02	2.002120e-05
1	1	3.187098e+00	3.113937e-02	2.002203e-05
1	1	3.275560e+00	3.184891e-02	2.001977e-05
1	1	3.363448e+00	3.269958e-02	2.002227e-05
1	1	3.451406e+00	3.343964e-02	2.002156e-05
1	1	3.539347e+00	3.408813e-02	2.001762e-05
1	1	3.627681e+00	3.489685e-02	2.002299e-05
1	1	3.715619e+00	3.571320e-02	2.001929e-05
1	1	3.803983e+00	3.643799e-02	2.002323e-05
1	1	3.891086e+00	3.714752e-02	2.002025e-05
1	1	3.979734e+00	3.794098e-02	2.002192e-05
1	1	4.067406e+00	3.876114e-02	2.002323e-05
1	1	4.155616e+00	3.947830e-02	2.002168e-05
1	1	4.243802e+00	4.022598e-02	2.002072e-05
1	1	4.331918e+00	4.096603e-02	2.002358e-05
1	1	4.419588e+00	4.183960e-02	2.001882e-05
1	1	4.507829e+00	4.263306e-02	2.001941e-05
1	1	4.595710e+00	4.328537e-02	2.002013e-05
1	1	4.683387e+00	4.398346e-02	2.002239e-05
1	1	4.771309e+00	4.480362e-02	2.001905e-05
1	1	4.859939e+00	4.550934e-02	2.001965e-05
1	1	4.947466e+00	4.629517e-02	2.002048e-05
1	1	5.035030e+00	4.700470e-02	2.002215e-05
