C-rate	Cycle number	Half cycle number	Elapsed time (s)	Elapsed C-rate time (s)	Potential (V)	Current (A)
20	1	1	1.071369e-02	1.071307e-02	9.422302e-04	-3.276229e-06
20	1	1	1.010676e-01	1.010685e-01	5.344391e-03	1.312888e-05
20	1	1	1.896369e-01	1.896385e-01	5.760193e-03	1.312530e-05
20	1	1	2.771507e-01	2.771519e-01	6.401062e-03	1.312304e-05
20	1	1	3.650136e-01	3.650151e-01	6.855011e-03	1.312566e-05
20	1	1	4.532958e-01	4.532967e-01	7.411957e-03	1.312459e-05
20	1	1	5.411835e-01	5.411844e-01	8.003235e-03	1.312292e-05
20	1	1	6.289042e-01	6.289051e-01	8.392334e-03	1.312459e-05
20	1	1	7.177528e-01	7.177537e-01	9.033203e-03	1.312697e-05
20	1	1	8.050157e-01	8.050164e-01	9.632111e-03	1.312625e-05
20	1	1	8.930037e-01	8.930045e-01	1.014709e-02	1.312208e-05
20	1	1	9.817088e-01	9.817098e-01	1.071548e-02	1.312184e-05
20	1	1	1.069581e+00	1.069581e+00	1.110077e-02	1.312339e-05
20	1	1	1.157188e+00	1.157189e+00	1.171112e-02	1.312923e-05
20	1	1	1.245083e+00	1.245084e+00	1.226807e-02	1.312029e-05
20	1	1	1.333060e+00	1.333061e+00	1.277924e-02	1.312578e-05
20	1	1	1.421552e+00	1.421553e+00	1.326370e-02	1.312399e-05
20	1	1	1.509463e+00	1.509464e+00	1.385117e-02	1.312447e-05
20	1	1	1.597115e+00	1.597116e+00	1.439667e-02	1.312327e-05
20	1	1	1.684990e+00	1.684991e+00	1.488876e-02	1.312268e-05
20	1	1	1.772959e+00	1.772960e+00	1.541138e-02	1.312280e-05
20	1	1	1.861839e+00	1.861840e+00	1.591110e-02	1.312637e-05
20	1	1	1.949158e+00	1.949159e+00	1.634216e-02	1.312494e-05
20	1	1	2.037195e+00	2.037196e+00	1.696396e-02	1.311946e-05
20	1	1	2.124936e+00	2.124937e+00	1.753235e-02	1.312637e-05
20	1	1	2.213314e+00	2.213315e+00	1.805878e-02	1.312470e-05
20	1	1	2.301360e+00	2.301361e+00	1.859665e-02	1.312566e-05
20	1	1	2.389689e+00	2.389690e+00	1.896667e-02	1.312470e-05
20	1	1	2.477647e+00	2.477648e+00	1.955795e-02	1.312697e-05
20	1	1	2.565781e+00	2.565782e+00	2.011108e-02	1.312447e-05
20	1	1	2.653824e+00	2.653825e+00	2.058411e-02	1.312673e-05
20	1	1	2.741139e+00	2.741140e+00	2.123260e-02	1.312053e-05
20	1	1	2.829109e+00	2.829110e+00	2.169037e-02	1.312566e-05
20	1	1	2.917376e+00	2.917377e+00	2.221298e-02	1.312375e-05
20	1	1	3.005356e+00	3.005357e+00	2.267075e-02	1.312411e-05
20	1	1	3.093079e+00	3.093079e+00	2.323532e-02	1.312530e-05
20	1	1	3.181229e+00	3.181230e+00	2.372742e-02	1.312220e-05
20	1	1	3.269778e+00	3.269779e+00	2.421188e-02	1.312280e-05
20	1	1	3.357718e+00	3.357720e+00	2.478027e-02	1.312649e-05
20	1	1	3.445211e+00	3.445211e+00	2.536011e-02	1.312232e-05
20	1	1	3.533253e+00	3.533254e+00	2.577209e-02	1.312387e-05
20	1	1	3.620981e+00	3.620982e+00	2.637100e-02	1.312447e-05
20	1	1	3.708840e+00	3.708841e+00	2.693176e-02	1.312697e-05
20	1	1	3.797120e+00	3.797121e+00	2.732849e-02	1.312459e-05
20	1	1	3.885060e+00	3.885062e+00	2.791214e-02	1.312578e-05
20	1	1	3.973418e+00	3.973419e+00	2.845383e-02	1.312101e-05
20	1	1	4.061437e+00	4.061438e+00	2.893066e-02	1.312268e-05
20	1	1	4.149144e+00	4.149145e+00	2.931976e-02	1.312470e-05
20	1	1	4.237033e+00	4.237035e+00	2.985382e-02	1.312447e-05
20	1	1	4.325052e+00	4.325054e+00	3.045273e-02	1.312554e-05
20	1	1	4.413328e+00	4.413329e+00	3.095627e-02	1.312709e-05
20	1	1	4.501360e+00	4.501361e+00	3.140640e-02	1.312685e-05
20	1	1	4.589293e+00	4.589293e+00	3.193283e-02	1.312304e-05
20	1	1	4.677530e+00	4.677531e+00	3.251648e-02	1.312494e-05
20	1	1	4.765547e+00	4.765548e+00	3.304291e-02	1.312208e-05
20	1	1	4.853501e+00	4.853502e+00	3.353882e-02	1.312220e-05
20	1	1	4.941537e+00	4.941538e+00	3.399658e-02	1.312625e-05
20	1	1	5.029324e+00	5.029324e+00	3.470993e-02	1.312876e-05
20	1	1	5.117144e+00	5.117144e+00	3.506851e-02	1.312530e-05
20	1	1	5.205039e+00	5.205040e+00	3.559875e-02	1.312280e-05
20	1	1	5.293367e+00	5.293368e+00	3.613281e-02	1.312649e-05
20	1	1	5.381394e+00	5.381395e+00	3.662491e-02	1.312470e-05
20	1	1	5.469719e+00	5.469720e+00	3.712845e-02	1.312625e-05
20	1	1	5.557641e+00	5.557642e+00	3.761292e-02	1.312423e-05
20	1	1	5.644953e+00	5.644954e+00	3.818893e-02	1.312637e-05
