Segment number	Charging/Self-discharging?	Elapsed time (s)	Segment time (s)	Potential (V)	Current (A)
1	Charging	5.048451e-01	1.881827e-01	1.611328e-02	2.694497e-05
1	Charging	5.927878e-01	2.761253e-01	1.702881e-02	2.516838e-05
1	Charging	6.813088e-01	3.646463e-01	1.778030e-02	2.321413e-05
1	Charging	7.689250e-01	4.522628e-01	1.863098e-02	2.264562e-05
1	Charging	8.568626e-01	5.402009e-01	1.957703e-02	2.193498e-05
1	Charging	9.449630e-01	6.283007e-01	2.046204e-02	2.152045e-05
1	Charging	1.033390e+00	7.167281e-01	2.138901e-02	2.109406e-05
1	Charging	1.121109e+00	8.044470e-01	2.228165e-02	2.089272e-05
1	Charging	1.209481e+00	8.928192e-01	2.310181e-02	2.110591e-05
1	Charging	1.297422e+00	9.807597e-01	2.405548e-02	2.076243e-05
1	Charging	1.385265e+00	1.068603e+00	2.488708e-02	2.002811e-05
1	Charging	1.473469e+00	1.156807e+00	2.583694e-02	2.076243e-05
1	Charging	1.561502e+00	1.244840e+00	2.664948e-02	2.067953e-05
1	Charging	1.648820e+00	1.332158e+00	2.755737e-02	2.014655e-05
1	Charging	1.737093e+00	1.420430e+00	2.836990e-02	2.075059e-05
1	Charging	1.824814e+00	1.508151e+00	2.936554e-02	2.073874e-05
1	Charging	1.912785e+00	1.596123e+00	3.009796e-02	2.057293e-05
1	Charging	2.001016e+00	1.684354e+00	3.102875e-02	2.047818e-05
1	Charging	2.089086e+00	1.772423e+00	3.186417e-02	2.058477e-05
1	Charging	2.176753e+00	1.860091e+00	3.267288e-02	2.046633e-05
1	Charging	2.264878e+00	1.948215e+00	3.371811e-02	2.049002e-05
1	Charging	2.353331e+00	2.036669e+00	3.448486e-02	2.103484e-05
1	Charging	2.441389e+00	2.124727e+00	3.542328e-02	2.011102e-05
1	Charging	2.528899e+00	2.212237e+00	3.627777e-02	2.095194e-05
1	Charging	2.617267e+00	2.300605e+00	3.728104e-02	2.083350e-05
1	Charging	2.705031e+00	2.388368e+00	3.819275e-02	2.108222e-05
1	Charging	2.792857e+00	2.476194e+00	3.890610e-02	2.034789e-05
1	Charging	2.881452e+00	2.564790e+00	3.987503e-02	2.045449e-05
1	Charging	2.969569e+00	2.652907e+00	4.079819e-02	2.110591e-05
1	Charging	3.057148e+00	2.740485e+00	4.165649e-02	2.072690e-05
1	Charging	3.145682e+00	2.829019e+00	4.246902e-02	2.094009e-05
1	Charging	3.233583e+00	2.916920e+00	4.347992e-02	2.080981e-05
1	Charging	3.320757e+00	3.004094e+00	4.431152e-02	2.120066e-05
1	Charging	3.409117e+00	3.092454e+00	4.520035e-02	2.134279e-05
1	Charging	3.497113e+00	3.180451e+00	4.598999e-02	2.046633e-05
1	Charging	3.585169e+00	3.268507e+00	4.698181e-02	2.099931e-05
1	Charging	3.673315e+00	3.356653e+00	4.769516e-02	2.063215e-05
1	Charging	3.760892e+00	3.444230e+00	4.862213e-02	2.073874e-05
1	Charging	3.849455e+00	3.532792e+00	4.954147e-02	2.076243e-05
